msoa_code,msoa_name,nte_businesses_2017,pub_workplaces_2017,licensed_food_2017,clubs_2017,cim_nightlife_poi_count,cim_grassroots_music_count,cim_nightclub_count,cim_cultural_poi_count,cim_lgbt_venue_count,activity_index,support_index
E02000539,Hounslow 014,,5.0,150.0,20.0,,,,,,0.03125,0.10211426000899684
E02000525,Hillingdon 032,,5.0,165.0,20.0,,,,,,0.03125,0.10818713450292397
E02000496,Hillingdon 003,,5.0,165.0,20.0,,,,,,0.03125,0.10818713450292397
E02000523,Hillingdon 030,,5.0,165.0,20.0,,,,,,0.03125,0.10818713450292397
E02000515,Hillingdon 022,,5.0,165.0,20.0,,,,,,0.03125,0.10818713450292397
E02000514,Hillingdon 021,,5.0,165.0,20.0,,,,,,0.03125,0.10818713450292397
E02000524,Hillingdon 031,,10.0,165.0,20.0,,,,1.0,,0.03125,0.10818713450292397
E02000479,Havering 016,,5.0,130.0,20.0,,,,,,0.03125,0.09401709401709402
E02000475,Havering 012,,5.0,130.0,20.0,,,,,,0.03125,0.09401709401709402
E02000487,Havering 024,,5.0,130.0,20.0,,,,,,0.03125,0.09401709401709402
E02000493,Havering 030,,5.0,130.0,20.0,,,,,,0.03125,0.09401709401709402
E02000485,Havering 022,,5.0,130.0,20.0,,,,,,0.03125,0.09401709401709402
E02000511,Hillingdon 018,,5.0,165.0,20.0,,,,,,0.03125,0.10818713450292397
E02000509,Hillingdon 016,,10.0,165.0,20.0,,,,1.0,,0.03125,0.10818713450292397
E02000504,Hillingdon 011,,5.0,165.0,20.0,,,,,,0.03125,0.10818713450292397
E02000366,Hackney 022,,5.0,285.0,15.0,,,,,,0.03125,0.1289923526765632
E02000239,Ealing 002,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02000437,Harrow 005,,5.0,150.0,10.0,,,,,,0.03125,0.0465587044534413
E02000430,Haringey 034,,5.0,175.0,10.0,,,,,,0.03125,0.05668016194331984
E02000455,Harrow 023,,5.0,150.0,10.0,,,,,,0.03125,0.0465587044534413
E02000249,Ealing 012,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02000448,Harrow 016,,5.0,150.0,10.0,,,,,,0.03125,0.0465587044534413
E02000545,Hounslow 020,,5.0,150.0,20.0,,,,,,0.03125,0.10211426000899684
E02000395,Hammersmith and Fulham 024,,5.0,270.0,15.0,,,,,,0.03125,0.12291947818263607
E02000260,Ealing 023,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02000262,Ealing 025,,10.0,190.0,20.0,1.0,,,,,0.03125,0.07887239466186834
E02000264,Ealing 027,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02000267,Ealing 030,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02000269,Ealing 032,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02000376,Hammersmith and Fulham 005,,5.0,270.0,15.0,,,,,,0.03125,0.12291947818263607
E02000377,Hammersmith and Fulham 006,,5.0,270.0,15.0,,,,,,0.03125,0.12291947818263607
E02000059,Barnet 036,,5.0,270.0,10.0,,,,,,0.03125,0.0951417004048583
E02000949,Wandsworth 027,,5.0,275.0,20.0,,,,,,0.03125,0.15272154745838956
E02000947,Wandsworth 025,,5.0,275.0,20.0,,,,,,0.03125,0.15272154745838956
E02000945,Wandsworth 023,,5.0,275.0,20.0,,,,,,0.03125,0.15272154745838956
E02000943,Wandsworth 021,,5.0,275.0,20.0,,,,,,0.03125,0.15272154745838956
E02000068,Bexley 004,,5.0,110.0,20.0,,,,,,0.03125,0.08591992802519118
E02000067,Bexley 003,,5.0,110.0,20.0,,,,,,0.03125,0.08591992802519118
E02000390,Hammersmith and Fulham 019,,5.0,270.0,15.0,,,,,,0.03125,0.12291947818263607
E02000388,Hammersmith and Fulham 017,,10.0,270.0,15.0,1.0,,,,,0.03125,0.08194631878842405
E02000937,Wandsworth 015,,5.0,275.0,20.0,,,,,,0.03125,0.15272154745838956
E02000940,Wandsworth 018,,5.0,275.0,20.0,,,,,,0.03125,0.15272154745838956
E02000403,Haringey 007,,5.0,175.0,10.0,,,,,,0.03125,0.05668016194331984
E02006791,Ealing 040,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02006789,Bromley 042,,5.0,200.0,20.0,,,,,,0.03125,0.12235717498875394
E02000397,Haringey 001,,5.0,175.0,10.0,,,,,,0.03125,0.05668016194331984
E02000968,Westminster 009,,5.0,1270.0,100.0,,,,,,0.03125,1.0
E02000275,Ealing 038,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02000276,Ealing 039,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02000298,Enfield 022,,5.0,150.0,15.0,,,,,,0.03125,0.07433648223121908
E02000305,Enfield 029,,5.0,150.0,15.0,,,,,,0.03125,0.07433648223121908
E02000297,Enfield 021,,5.0,150.0,15.0,,,,,,0.03125,0.07433648223121908
E02000030,Barnet 007,,5.0,270.0,10.0,,,,,,0.03125,0.0951417004048583
E02000029,Barnet 006,,5.0,270.0,10.0,,,,,,0.03125,0.0951417004048583
E02000025,Barnet 002,,5.0,270.0,10.0,,,,,,0.03125,0.0951417004048583
E02000851,Sutton 012,,15.0,95.0,10.0,2.0,1.0,1.0,1.0,,0.031013257575757576,0.019721506563611827
E02000868,Tower Hamlets 005,,10.0,320.0,10.0,2.0,2.0,1.0,,,0.030934343434343436,0.10098235098235099
E02000657,Lewisham 005,,10.0,130.0,15.0,3.0,1.0,1.0,1.0,,0.030776515151515152,0.04827117327117327
E02000120,Brent 028,,5.0,190.0,15.0,2.0,2.0,,,,0.030776515151515152,0.08855545039755566
E02000890,Tower Hamlets 027,,5.0,320.0,10.0,1.0,,,4.0,,0.029284591194968554,0.07692307692307693
E02000383,Hammersmith and Fulham 012,,5.0,270.0,15.0,1.0,1.0,,4.0,,0.029284591194968554,0.061459739091318036
E02000167,Camden 002,,10.0,600.0,20.0,1.0,1.0,,2.0,1.0,0.02712264150943396,0.11372019793072426
E02000619,Lambeth 002,,5.0,295.0,15.0,2.0,,,2.0,,0.026806984943777395,0.09879496721601984
E02000747,Newham 034,,5.0,125.0,10.0,2.0,,2.0,1.0,,0.02675189393939394,0.0343925080767186
E02000309,Enfield 033,,0.0,150.0,15.0,2.0,,2.0,,,0.025252525252525252,0.05965866492182282
E02000725,Newham 012,,10.0,125.0,10.0,1.0,,1.0,3.0,,0.02505896226415094,0.0242914979757085
E02000166,Camden 001,,5.0,600.0,20.0,,,,2.0,,0.02505896226415094,0.28430049482681063
E02000873,Tower Hamlets 010,,5.0,320.0,10.0,,,,2.0,,0.02505896226415094,0.11538461538461539
E02000173,Camden 008,,5.0,600.0,20.0,,,,2.0,,0.02505896226415094,0.28430049482681063
E02006792,Hounslow 029,,15.0,150.0,20.0,1.0,,1.0,1.0,,0.0234375,0.06807617333933123
E02000982,Westminster 023,,10.0,1270.0,100.0,2.0,,1.0,1.0,,0.023200757575757576,0.6767676767676768
E02000934,Wandsworth 012,,10.0,275.0,20.0,2.0,,1.0,1.0,,0.023200757575757576,0.1119153750732698
E02000594,Kensington and Chelsea 018,,5.0,400.0,20.0,1.0,1.0,,3.0,,0.022995283018867923,0.10166441745389114
E02000629,Lambeth 012,,10.0,295.0,15.0,1.0,,,1.0,3.0,0.020833333333333332,0.10498200629779578
E02000597,Kensington and Chelsea 021,,10.0,400.0,20.0,1.0,1.0,,1.0,,0.020833333333333332,0.10166441745389114
E02000590,Kensington and Chelsea 014,,10.0,400.0,20.0,1.0,,1.0,,,0.020833333333333332,0.1355525566051882
E02000572,Islington 019,,5.0,370.0,10.0,2.0,,,1.0,,0.020517676767676768,0.1005193636772584
